subject, StimLat, CurrentTask, TaskCondition, chooseSequence, block, trial, ThisITI, SetSize, ShownLocs, AllColors, ShownColors, ProbeType, ProbeMatch, ChosenProbeColor, CorrectProbeColor, correctResp, ProbeLoc, probert, msecProbeRT, probeACC, response, error, scannerStart, runStart, trialStart, stimStart, probeStart, stimFlip, SeqStartTime, Onset, centralJitter, LastITI, matchCond
103, Left, 1, SpatialChangeDetection, 16, 1, 38, 3, 1, 8, [1 21 41 61 81 101 121 141 160], 121, 1, 2, 9, 1, 2, 8, 7.401481e-01, 740, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634339e+06, 1.634341e+06, 1.634343e+06, 1.634341e+06, 1.965000e+02, 2.025000e+02, 0, 6, novel non-match
103, Left, 1, SpatialChangeDetection, 16, 1, 39, 1.500000e+00, 7, [2 3 4 5 6 7 8], [1 21 41 61 81 101 121 141 160], [1 141 41 21 121 160 61], 1, 2, 9, 81, 2, 6, 1.167605e+00, 1168, 0, 1, NA, 1.634139e+06, 1.634145e+06, 1.634345e+06, 1.634346e+06, 1.634348e+06, 1.634346e+06, 2.015000e+02, 2.075000e+02, 0, 6, novel non-match
103, Left, 1, SpatialChangeDetection, 16, 1, 40, 1, 1, 1, [1 21 41 61 81 101 121 141 160], 160, 1, 1, 1, 160, 1, 1, 5.214181e-01, 521, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634350e+06, 1.634351e+06, 1.634352e+06, 1.634351e+06, 206, 212, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 41, 2, 3, [2 3 4], [1 21 41 61 81 101 121 141 160], [1 21 121], 1, 2, 3, 121, 2, 3, 7.647427e-01, 765, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634355e+06, 1.634356e+06, 1.634358e+06, 1.634356e+06, 2.115000e+02, 2.175000e+02, 0, 6, lure
103, Left, 1, SpatialChangeDetection, 16, 1, 42, 1, 7, [3 4 5 6 7 8 9], [1 21 41 61 81 101 121 141 160], [81 101 141 61 21 41 121], 1, 2, 7, 121, 2, 4, 7.964276e-01, 796, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634360e+06, 1.634361e+06, 1.634362e+06, 1.634361e+06, 216, 222, 0, 6, lure
103, Left, 1, SpatialChangeDetection, 16, 1, 43, 2, 5, [3 4 5 6 7], [1 21 41 61 81 101 121 141 160], [141 160 121 81 41], 1, 2, 9, 21, 2, 6, 1.290399e+00, 1290, 0, 1, NA, 1.634139e+06, 1.634145e+06, 1.634365e+06, 1.634366e+06, 1.634368e+06, 1.634366e+06, 2.215000e+02, 2.275000e+02, 0, 6, novel non-match
103, Left, 1, SpatialChangeDetection, 16, 1, 44, 1, 7, [3 4 5 6 7 8 9], [1 21 41 61 81 101 121 141 160], [61 101 141 1 41 160 81], 1, 2, 3, 141, 2, 3, 8.893733e-01, 889, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634370e+06, 1.634371e+06, 1.634372e+06, 1.634371e+06, 226, 232, 0, 6, lure
103, Left, 1, SpatialChangeDetection, 16, 1, 45, 1, 5, [2 3 4 5 6], [1 21 41 61 81 101 121 141 160], [21 121 101 61 141], 1, 1, 3, 101, 1, 4, 1.545929e+00, 1546, 0, 2, NA, 1.634139e+06, 1.634145e+06, 1.634375e+06, 1.634375e+06, 1.634377e+06, 1.634375e+06, 2.305000e+02, 2.365000e+02, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 46, 1, 4, [3 4 5 6], [1 21 41 61 81 101 121 141 160], [160 1 41 21], 1, 1, 2, 1, 1, 4, 7.051102e-01, 705, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634379e+06, 1.634380e+06, 1.634381e+06, 1.634380e+06, 235, 241, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 47, 4.500000e+00, 1, 9, [1 21 41 61 81 101 121 141 160], 141, 1, 1, 1, 141, 1, 9, 5.846270e-01, 585, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634384e+06, 1.634388e+06, 1.634389e+06, 1.634388e+06, 243, 249, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 48, 1, 4, [3 4 5 6], [1 21 41 61 81 101 121 141 160], [160 101 61 121], 1, 2, 1, 160, 2, 6, 7.056653e-01, 706, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634392e+06, 1.634392e+06, 1.634394e+06, 1.634392e+06, 2.475000e+02, 2.535000e+02, 0, 6, lure
103, Left, 1, SpatialChangeDetection, 16, 1, 49, 3.500000e+00, 7, [1 2 3 4 5 6 7], [1 21 41 61 81 101 121 141 160], [101 160 141 41 61 1 21], 1, 1, 3, 141, 1, 3, 1.357513e+00, 1358, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634396e+06, 1.634399e+06, 1.634401e+06, 1.634399e+06, 2.545000e+02, 2.605000e+02, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 50, 5.500000e+00, 4, [2 3 4 5], [1 21 41 61 81 101 121 141 160], [160 41 101 61], 1, 2, 9, 21, 2, 5, 8.941444e-01, 894, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634403e+06, 1.634408e+06, 1.634410e+06, 1.634408e+06, 2.635000e+02, 2.695000e+02, 0, 6, novel non-match
103, Left, 1, SpatialChangeDetection, 16, 1, 51, 5.500000e+00, 5, [3 4 5 6 7], [1 21 41 61 81 101 121 141 160], [41 141 61 21 160], 1, 1, 1, 41, 1, 3, 1.167199e+00, 1167, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634412e+06, 1.634417e+06, 1.634419e+06, 1.634417e+06, 2.725000e+02, 2.785000e+02, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 52, 3, 5, [3 4 5 6 7], [1 21 41 61 81 101 121 141 160], [21 41 101 1 160], 1, 2, 9, 81, 2, 3, 9.322077e-01, 932, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634421e+06, 1.634424e+06, 1.634425e+06, 1.634424e+06, 279, 285, 0, 6, novel non-match
103, Left, 1, SpatialChangeDetection, 16, 1, 53, 1.500000e+00, 7, [2 3 4 5 6 7 8], [1 21 41 61 81 101 121 141 160], [81 101 41 1 141 160 61], 1, 2, 9, 21, 2, 7, 8.156124e-01, 816, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634428e+06, 1.634429e+06, 1.634430e+06, 1.634429e+06, 284, 290, 0, 6, novel non-match
103, Left, 1, SpatialChangeDetection, 16, 1, 54, 2.500000e+00, 4, [2 3 4 5], [1 21 41 61 81 101 121 141 160], [1 41 81 21], 1, 1, 4, 21, 1, 5, 8.998745e-01, 900, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634432e+06, 1.634435e+06, 1.634436e+06, 1.634435e+06, 290, 296, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 55, 1.500000e+00, 7, [2 3 4 5 6 7 8], [1 21 41 61 81 101 121 141 160], [81 160 21 41 1 121 61], 1, 1, 1, 81, 1, 2, 1.307071e+00, 1307, 1, 1, NA, 1.634139e+06, 1.634145e+06, 1.634438e+06, 1.634440e+06, 1.634441e+06, 1.634440e+06, 295, 301, 0, 6, match
103, Left, 1, SpatialChangeDetection, 16, 1, 56, 3.500000e+00, 1, 9, [1 21 41 61 81 101 121 141 160], 81, 1, 2, 9, 101, 2, 9, 6.577522e-01, 658, 0, 1, NA, 1.634139e+06, 1.634145e+06, 1.634443e+06, 1.634447e+06, 1.634448e+06, 1.634447e+06, 302, 308, 0, 6, novel non-match
103, Left, 1, SpatialChangeDetection, 16, 1, 57, 1, 5, [4 5 6 7 8], [1 21 41 61 81 101 121 141 160], [160 101 41 21 121], 1, 2, 4, 21, 2, 6, 8.901505e-01, 890, 0, 1, NA, 1.634139e+06, 1.634145e+06, 1.634450e+06, 1.634451e+06, 1.634453e+06, 1.634451e+06, 3.065000e+02, 3.125000e+02, 0, 6, lure
103, Left, 1, SpatialChangeDetection, 16, 1, 58, 1, 7, [2 3 4 5 6 7 8], [1 21 41 61 81 101 121 141 160], [41 160 81 101 141 61 21], 1, 2, 9, 121, 2, 4, 7.639697e-01, 764, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634455e+06, 1.634456e+06, 1.634457e+06, 1.634456e+06, 311, 317, 0, 6, novel non-match
103, Left, 1, SpatialChangeDetection, 16, 1, 59, 1, 7, [2 3 4 5 6 7 8], [1 21 41 61 81 101 121 141 160], [1 41 121 81 61 21 141], 1, 2, 6, 21, 2, 5, 1.266201e+00, 1266, 0, 1, NA, 1.634139e+06, 1.634145e+06, 1.634459e+06, 1.634460e+06, 1.634462e+06, 1.634460e+06, 3.155000e+02, 3.215000e+02, 0, 6, lure
103, Left, 1, SpatialChangeDetection, 16, 1, 60, 1.500000e+00, 1, 2, [1 21 41 61 81 101 121 141 160], 21, 1, 2, 9, 1, 2, 2, 5.771703e-01, 577, 1, 2, NA, 1.634139e+06, 1.634145e+06, 1.634464e+06, 1.634465e+06, 1.634467e+06, 1.634465e+06, 3.205000e+02, 3.265000e+02, 0, 6, novel non-match
103, Left, 2, Precision, 11, 2, 1, 0, 3, [7 8 9], [78 58 45], [78 45 58], 2, 99, 2, 45, 45, 8, 9999, NA, 3, 48, 3, 1.634540e+06, 1.634546e+06, 1.634546e+06, 1.634546e+06, 1.634548e+06, 1.634546e+06, 0, 6, 0, 6.500000e+00, NA
